pl_name,hostname,default_flag,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,pl_orbeccen,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
GJ 367 b,GJ 367,0,0.718,0.546,,1745.0,3522.0,0.0,1,3,0,0.321962,1e-05,-1.2e-05,0.0,0.0071,0.0002,-0.0002,0.0,0.054,-0.054,0.0,0.06405578,0.00481757,-0.00481757,0.0,0.078,-0.078,0.0,0.00171791,0.00024542,-0.00024542,0.0,,,0.0,,,,43.0,-43.0,0.0,70.0,-70.0,0.0,0.457,0.013,-0.013,0.0,0.454,0.011,-0.011,0.0,-0.01,0.12,-0.12,0.0,[Fe/H],4.777,0.026,-0.026,0.0,9.41263,0.002835,-0.002835
GJ 367 b,GJ 367,1,0.699,0.633,579.0,1365.0,3522.0,0.06,1,3,0,0.3219225,2e-07,-2e-07,0.0,0.00709,0.00027,-0.00027,0.0,0.024,-0.024,0.0,0.06236071,0.00214114,-0.00214114,0.0,0.05,-0.05,0.0,0.00199164,0.00015732,-0.00015732,0.0,0.07,-0.04,0.0,57.0,-52.0,0.0,32.0,-32.0,0.0,70.0,-70.0,0.0,0.458,0.013,-0.013,0.0,0.455,0.011,-0.011,0.0,-0.01,0.12,-0.12,0.0,[Fe/H],4.776,0.026,-0.026,0.0,9.41263,0.002835,-0.002835
GJ 367 b,GJ 367,0,2.66076,,469.443,1296.0,3518.0,,1,3,0,0.3219233,4e-07,-4e-07,0.0,,,,,0.921089,-0.921089,0.0,0.23737752,0.0821742,-0.0821742,0.0,,,,,,,,,,,,,0.0,,,0.0,84.0,-84.0,0.0,0.46,0.01,-0.01,0.0,,,,,,,,,,4.82492,0.061282,-0.061282,0.0,9.41263,0.002835,-0.002835
HD 136352 b,HD 136352,1,1.664,4.72,111.6,905.0,5664.0,0.0,1,3,0,11.57797,8e-05,-0.00013,0.0,0.0964,0.0028,-0.0028,0.0,0.043,-0.043,0.0,0.14845239,0.00383621,-0.00383621,0.0,0.42,-0.42,0.0,0.01485078,0.00132147,-0.00132147,0.0,,,0.0,7.3,-6.8,0.0,14.0,-14.0,0.0,61.0,-61.0,0.0,1.058,0.019,-0.019,0.0,0.87,0.04,-0.04,0.0,-0.24,0.05,-0.05,0.0,[M/H],4.39,0.11,-0.11,0.0,14.682,0.0199,-0.0198
HD 136352 b,HD 136352,0,,4.81,,,5664.0,0.14,1,3,0,11.5824,0.0024,-0.0025,0.0,0.0934,0.0037,-0.004,0.0,,,,,,,,0.59,-0.56,0.0,0.0151,0.0018,-0.0018,0.0,0.08,-0.08,0.0,,,,,,,14.0,-14.0,0.0,,,,,0.81,,,0.0,-0.34,0.01,-0.01,0.0,[Fe/H],4.39,0.02,-0.02,0.0,14.682,0.0199,-0.0198
HD 136352 b,HD 136352,0,1.482,4.62,114.0,911.0,5850.0,0.079,1,3,0,11.57779,0.00091,-0.0011,0.0,0.0969,0.0019,-0.0017,0.0,0.058,-0.056,0.0,0.13221518,0.00517441,-0.00499599,0.0,0.45,-0.44,0.0,0.01453607,0.00141585,-0.00138439,0.0,0.068,-0.053,0.0,10.0,-9.0,0.0,18.0,-18.0,0.0,100.0,-100.0,0.0,1.012,0.018,-0.018,0.0,0.906,0.055,-0.047,0.0,-0.25,0.12,-0.12,0.0,[Fe/H],4.385,0.029,-0.027,0.0,14.682,0.0199,-0.0198
HD 136352 b,HD 136352,0,1.54221286,,99.9013,806.33,5739.0,,1,3,0,11.57783621,1.83652e-05,-1.83652e-05,0.0,,,,,0.71613497,-0.71613497,0.0,0.13758725,0.06388939,-0.06388939,0.0,,,,,,,,,,,,,0.0,,,0.0,25.0,-25.0,0.0,1.02607,0.045106,-0.045106,0.0,,,,,,,,,,4.51,0.028,-0.028,0.0,14.682,0.0199,-0.0198
HD 219134 c,HD 219134,1,1.511,4.36,62.1,782.0,4699.0,0.062,1,6,0,6.76458,0.00033,-0.00033,0.0,0.0653,0.0008,-0.0008,0.0,0.047,-0.047,0.0,0.13480239,0.00419306,-0.00419306,0.0,0.22,-0.22,0.0,0.01371803,0.00069219,-0.00069219,0.0,0.039,-0.039,0.0,1.9,-1.9,0.0,6.0,-6.0,0.0,16.0,-16.0,0.0,0.778,0.005,-0.005,0.0,0.81,0.03,-0.03,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.567,0.018,-0.018,0.0,6.53127,0.00384,-0.00385
HD 219134 c,HD 219134,0,,3.55967816,,,4817.14,0.16,1,6,0,6.76406,0.00093,-0.00076,0.0,0.06466,0.00074,-0.00073,0.0,,,,,,,,0.44495977,-0.44495977,0.0,0.0112,0.0014,-0.0014,0.0,0.12,-0.11,0.0,,,,,,,62.04,-62.04,0.0,0.757466,0.012968,-0.012968,0.0,0.788484,0.026654,-0.026654,0.0,0.0834,0.0585,-0.0585,0.0,[Fe/H],4.574892,0.021159,-0.021159,0.0,6.53127,0.00384,-0.00385
HD 219134 c,HD 219134,0,1.39215,,64.6487,789.0,4884.29,,1,6,0,6.7650398,7.4e-06,-7.4e-06,0.0,,,,,0.11279,-0.11279,0.0,0.12419952,0.01006247,-0.01006247,0.0,,,,,,,,,,,,,0.0,,,0.0,142.84,-142.84,0.0,0.75,0.06,-0.06,0.0,,,,,,,,,,4.59034,0.099051,-0.099051,0.0,6.53127,0.00384,-0.00385
