pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,density_kg_m3,density_g_cm3,planet_type,f_radius,f_mass,f_insolation,f_eq_temp,f_star_teff,f_eccentric,Potential Habitability
GJ 367 b,GJ 367,1,1,3,0,0.3219225,0.00709,0.699,0.06236071,0.633,0.00199164,0.06,579.0,1365.0,3522.0,0.458,0.455,-0.01,[Fe/H],4.776,9.41263,10218.344898606138,10.218344898606137,Terrestrial,True,True,False,False,True,True,4
HD 136352 b,HD 136352,0,1,3,0,11.57779,0.0969,1.482,0.13221518,4.62,0.01453607,0.079,114.0,911.0,5850.0,1.012,0.906,-0.25,[Fe/H],4.385,14.682,7825.385461173269,7.825385461173268,Terrestrial,True,True,False,False,True,True,4
HD 219134 c,HD 219134,1,1,6,0,6.76458,0.0653,1.511,0.13480239,4.36,0.01371803,0.062,62.1,782.0,4699.0,0.778,0.81,0.11,[Fe/H],4.567,6.53127,6967.892964633955,6.967892964633955,Terrestrial,True,True,False,False,True,True,4
HD 23472 d,HD 23472,1,1,5,0,3.97664,0.04298,0.75,0.06691063,0.55,0.00173049,0.07,117.0,909.0,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,39.0341,7187.655836975411,7.187655836975411,Terrestrial,True,True,False,False,True,True,4
HD 23472 e,HD 23472,1,1,5,0,7.90754,0.068,0.818,0.0729772,0.72,0.00226537,0.07,46.7,723.0,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,39.0341,7252.386819148215,7.2523868191482155,Terrestrial,True,True,False,False,True,True,4
HD 23472 f,HD 23472,1,1,5,0,12.1621839,0.0906,1.137,0.10143652,0.77,0.00242269,0.07,26.3,630.0,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,39.0341,2888.136436630414,2.8881364366304143,Gaseous,True,True,False,False,True,True,4
HD 260655 b,HD 260655,1,1,2,0,2.76953,0.02933,1.24,0.11062558,2.14,0.00673319,0.039,42.2,709.0,3803.0,0.439,0.439,-0.43,[Fe/H],5.2,10.0055,6188.096709461677,6.188096709461677,Terrestrial,True,True,False,False,True,True,4
HD 260655 c,HD 260655,1,1,2,0,5.70588,0.04749,1.533,0.13676533,3.09,0.00972223,0.038,16.1,557.0,3803.0,0.439,0.439,-0.43,[Fe/H],5.2,10.0055,4728.685052154124,4.728685052154123,Terrestrial,True,True,False,False,True,True,4
K2-266 c,K2-266,1,2,4,0,7.814,0.0679,0.705,0.06289589,0.29013072,0.00091285,0.042,32.4,664.5,4285.0,0.703,0.686,-0.12,[Fe/H],4.581,77.5586,4564.93648520226,4.56493648520226,Terrestrial,True,True,False,False,True,True,4
K2-3 c,K2-3,1,1,3,0,24.646729,0.1357,1.582,0.14113683,2.68,0.00843222,0.048,3.17,371.8,3844.0,0.546,0.549,-0.157,[Fe/H],4.704,44.0727,3731.8461494415787,3.7318461494415787,Terrestrial,True,True,False,False,True,True,4
Kepler-138 c,Kepler-138,1,1,4,0,13.7815,0.0913,1.51,0.13471341,2.3,0.00723661,0.017,6.8,410.0,3841.0,0.535,0.535,-0.18,[Fe/H],4.71,66.8624,3683.0309518651043,3.683030951865104,Terrestrial,True,True,False,False,True,True,4
Kepler-138 d,Kepler-138,1,1,4,0,23.0923,0.1288,1.51,0.13471341,2.1,0.00660734,0.01,3.4,345.0,3841.0,0.535,0.535,-0.18,[Fe/H],4.71,66.8624,3362.767390833357,3.3627673908333566,Terrestrial,True,True,False,False,True,True,4
TOI-1266 c,TOI-1266,0,1,3,0,18.80151,0.1058,1.56,0.13917388,2.2,0.00692194,0.04,2.3,344.0,3600.0,0.42,0.45,-0.5,[Fe/H],4.85,36.0118,3194.899933225444,3.194899933225444,Terrestrial,True,True,False,False,True,True,4
TOI-500 b,TOI-500,1,1,4,0,0.548177,0.01189,1.166,0.10402373,1.42,0.00446782,0.063,1138.0,1617.0,4440.0,0.678,0.74,0.12,[Fe/H],4.618,47.3924,4938.568336556998,4.9385683365569975,Terrestrial,True,True,False,False,True,True,4
